pruning_level_pct,target_sparsity,actual_sparsity_pct,total_params,nonzero_params,checkpoint_mb,mean_input_snr_db,mean_output_snr_db,mean_snr_improvement_db,mean_input_sisnr_db,mean_output_sisnr_db,mean_sisnr_improvement_db,mean_stoi,mean_stoi_improvement,mean_pesq,mean_pesq_improvement,mean_rms_ratio,mean_rtf,mean_latency_ms
10,0.1,10.0,4402053,3961880,16.85,8.27609703607298,13.819942766757517,5.543845730684539,8.0577795106466,13.630524791398027,5.572745280751427,0.8596192023331432,0.02739153247140618,2.150229091644287,0.3732946467399597,0.9371988962846628,0.015189446499862242,0.0009493404062413902
20,0.2,20.0,4402053,3521707,16.85,8.27609703607298,13.572780873416534,5.296683837343554,8.0577795106466,13.38438885031166,5.326609339665064,0.8586187563745861,0.026391086512849393,2.171193679571152,0.39425923466682433,0.919167504794503,0.014920074000037857,0.0009325046250023661
30,0.3,30.0,4402053,3081535,16.85,8.27609703607298,13.427594117067361,5.151497080994383,8.0577795106466,13.207854762344837,5.150075251698236,0.8588318987796485,0.026604228917911837,2.1794176650047303,0.4024832201004028,0.930766110076024,0.015989671500155966,0.0009993544687597479
40,0.4,40.0,4402053,2641362,16.85,8.27609703607298,12.840962622329949,4.5648655862569685,8.0577795106466,12.59881413807451,4.541034627427908,0.8563490571240412,0.024121387262304644,2.13237913608551,0.3554446911811829,0.9265443750890846,0.017539270000033868,0.0010962043750021167
