noise_category,sample_count,mean_metadata_measured_snr_db,mean_waveform_input_snr_db,mean_waveform_output_snr_db,mean_waveform_snr_improvement_db,mean_input_si_snr_db,mean_output_si_snr_db,mean_si_snr_improvement_db,mean_input_stoi,mean_output_stoi,mean_stoi_improvement,mean_input_pesq,mean_output_pesq,mean_pesq_improvement,mean_rms_ratio_enhanced_over_clean,mean_mask_mean_magnitude,mean_mask_median_magnitude,mean_mask_p95_magnitude,mean_mask_max_magnitude
armored_vehicle,13,6.153846153846154,7.629352816875841,13.422417078526498,5.793064261650658,7.416490224691538,12.921027509065775,5.504537284374237,0.7806759475661937,0.8146747372005891,0.033998789634395434,1.5158498745698195,1.8719136073039129,0.3560637327340933,0.9541193139998045,0.46313113146103346,0.4403960802234136,0.9071557384270889,1.5220470428466797
artillery,16,5.625,6.974479009317421,12.893361360710289,5.918882351392867,7.365973062813282,13.025239612907171,5.659266550093889,0.7940925726748944,0.8274693724887249,0.0333767998138305,1.8349925801157951,2.294995166361332,0.4600025862455368,0.8932579829408142,0.3911424777470529,0.3427497495431453,0.9030330386012793,1.5609118938446045
drone,13,8.846153846153847,10.270168378731476,16.109732258929697,5.839563880198219,10.068689740621126,15.758844742408165,5.690155001787039,0.9276698657145219,0.9331728529526253,0.005502987238103402,2.1232159046026378,2.5492983139478245,0.42608240934518665,1.0063612235272588,0.2886648579285695,0.21514850167127755,0.7906117897767287,1.5204651722541223
gunshot,14,10.357142857142858,11.797372382014387,15.532926053442555,3.7355536714281685,11.71836669743061,15.440815312521798,3.7224486150911877,0.8743846664630416,0.8915223020016975,0.017137635538655827,2.271769787584032,2.404056327683585,0.1322865400995527,0.988189916131036,0.36856692497219357,0.3202176147273609,0.8705618040902274,1.4758495943886893
helicopter,14,5.0,6.806405884082545,13.460302973303044,6.6538970892205,6.702343440481594,12.85493925852435,6.152595818042755,0.8359999076145411,0.8749598000534804,0.03895989243893929,1.6654397419520788,1.9202155726296561,0.2547758306775774,0.964707645474651,0.3634461318807943,0.29212345542120083,0.8769627043179103,1.5142562474523271
siren,17,5.882352941176471,6.961410102797089,12.442143671381706,5.480733568584616,6.356016851523343,12.557194078669829,6.201177227146485,0.7781851943694735,0.8167337320536026,0.03854853768412907,1.4710398842306698,1.9247378741993624,0.45369798996869254,0.9304648335868702,0.44793569954002604,0.41200241884764505,0.9341473018421846,1.3716772444107954
wind,13,6.153846153846154,8.040568957108965,13.667370223588517,5.626801266479551,7.282524096564605,13.819246475513165,6.53672237894856,0.8564813776429884,0.881850453380792,0.025369075737803757,1.6074689718393178,2.0970261830549974,0.48955721121567947,0.9234183745897033,0.3596020845266489,0.2840743503318383,0.8781359608356769,1.4618797852442815
