sample_id,unseen_snr_db,actual_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,mean_mask_magnitude,p95_mask_magnitude
S0011,-2.5,-2.50000006983285,7.81919364418103,10.31919371401388,0.8085578083992004,1.0169947147369385
S0011,2.5,2.4999998894616384,12.070287979894989,9.570288090433351,0.7449788451194763,1.000938892364502
S0011,7.5,7.500000052325674,16.302583696423245,8.80258364409757,0.6405042409896851,0.9858580827713013
S0011,12.5,12.500000288576807,19.967915855345456,7.467915566768649,0.5119569897651672,0.9684074521064758
S0011,17.5,17.500000205453187,22.9611395849378,5.461139379484614,0.3853745460510254,0.9564777612686157
S0011,25.0,24.999999691374136,26.534044844890996,1.5340451535168604,0.3124341368675232,0.9367548823356628
S0016,-2.5,-2.499999985884172,5.154568670374688,7.65456865625886,0.5494380593299866,1.0188692808151245
S0016,2.5,2.500000257883248,8.456647584231469,5.956647326348221,0.45557379722595215,0.9905234575271606
S0016,7.5,7.499999860831847,12.169260771201355,4.669260910369507,0.38046833872795105,0.9621127247810364
S0016,12.5,12.500000202401104,16.407023422308818,3.907023219907714,0.3001938760280609,0.8927282691001892
S0016,17.5,17.499999800082964,20.11540019804873,2.6154003979657645,0.23733408749103546,0.8082513809204102
S0016,25.0,25.00000006071877,26.282614294102636,1.2826142333838675,0.17971399426460266,0.6883161664009094
S0019,-2.5,-2.4999999036156026,7.0098410973649425,9.509841000980545,0.6819126605987549,0.9953444600105286
S0019,2.5,2.4999997278040214,10.426261062180536,7.926261334376515,0.44343051314353943,0.9588539004325867
S0019,7.5,7.500000043761222,13.863082059882014,6.363082016120792,0.28875553607940674,0.8758997917175293
S0019,12.5,12.499999727634407,17.582649207998546,5.0826494803641395,0.17738594114780426,0.6868754029273987
S0019,17.5,17.49999855372976,21.34559319943678,3.8455946457070205,0.12540829181671143,0.5245128870010376
S0019,25.0,24.99999264110467,27.293810971716432,2.2938183306117637,0.09760406613349915,0.3982151746749878
S0023,-2.5,-2.4999998958095864,3.6668711886398535,6.16687108444944,0.9609085321426392,1.0599113702774048
S0023,2.5,2.499999758887067,8.095913150142408,5.595913391255341,0.8774493932723999,1.0369497537612915
S0023,7.5,7.500000248415521,11.690907754829043,4.190907506413522,0.791495144367218,1.0167262554168701
