sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav,clipping_pct
S0011,-5.0,-5.0,-6.988106471259343,3.691703106580007,10.67980957783935,-7.057730674743652,2.4616780281066895,9.519408702850342,0.5312173725067135,0.4543546541125062,-0.07686271839420733,,1.1634852886199951,1.1078187227249146,-0.055666565895080566,,armored_vehicle,0.513979434967041,0.07528601586818695,1.0545504259655678,False,0.0
S0016,-5.0,-5.0,-5.1315305561951154,2.7706592396888245,7.90218979588394,-5.364826202392578,-0.12669342756271362,5.2381327748298645,0.6785225471707548,0.7160598473480965,0.03753730017734169,,1.037152647972107,1.0725401639938354,0.035387516021728516,,armored_vehicle,0.4339996576309204,0.06959090381860733,0.8471009231153904,False,0.0
S0019,-5.0,-5.0,-3.3499623395736666,4.9577829898054535,8.30774532937912,-3.091892719268799,3.286883592605591,6.37877631187439,0.5657407524403172,0.6412253349288245,0.07548458248850731,,1.05045485496521,1.2188838720321655,0.16842901706695557,,armored_vehicle,0.10055676847696304,0.01152094267308712,0.8270367517276773,False,0.0
S0023,-5.0,-5.0,-0.7994759826095426,4.353080359030251,5.1525563416397935,-3.6068315505981445,2.974236488342285,6.58106803894043,0.5465316574976291,0.5065142880952774,-0.04001736940235168,,1.0304243564605713,1.1420921087265015,0.11166775226593018,,armored_vehicle,0.6314615607261658,0.09937933832406998,0.6369300326024564,False,0.0
S0033,-5.0,-5.0,5.356122528680661,5.818438970433228,0.46231644175256736,9.146342277526855,18.04100799560547,8.894665718078613,0.9706421666726324,0.9715931959609893,0.000951029288356886,,2.7904722690582275,2.1538338661193848,-0.6366384029388428,,artillery,0.5024204850196838,0.0713503286242485,0.495804972833227,False,0.0
S0045,-5.0,-5.0,0.2283705447421197,2.0932523405224535,1.8648817957803336,-5.14023494720459,-2.06689453125,3.07334041595459,0.6120215160160655,0.6972102989010671,0.08518878288500165,,1.2002719640731812,1.318779706954956,0.1185077428817749,,artillery,0.7705577611923218,0.08061118423938751,0.6467816047582824,False,0.0
S0053,-5.0,-5.0,-3.184194743880841,-0.8773968959030931,2.306797847977748,-5.592884063720703,-4.607734203338623,0.9851498603820801,0.8700476896131262,0.8439180223285755,-0.026129667284550684,,1.13486909866333,1.129983901977539,-0.004885196685791016,,drone,0.7930247783660889,0.15897202491760254,1.200621218659904,False,0.0
S0071,-5.0,-5.0,-5.394310655773471,6.576334176494773,11.970644832268244,-5.882987022399902,5.5017571449279785,11.38474416732788,0.8180918478701676,0.7794619081639619,-0.03862993970620576,,1.0990924835205078,1.2903944253921509,0.19130194187164307,,drone,0.556947648525238,0.12121717631816864,0.8867585552177788,False,0.0
S0078,-5.0,-5.0,-6.629630330858056,3.4239306769607483,10.053561007818804,-6.544703960418701,2.90032958984375,9.445033550262451,0.6222134209045933,0.6298509039736235,0.0076374830690302264,,1.3251036405563354,1.285386562347412,-0.03971707820892334,,siren,0.03626583144068718,0.006681128405034542,1.1521364521454063,False,0.0
S0081,-5.0,-5.0,1.3315482857753955,2.623441045672863,1.2918927598974674,-4.146320343017578,8.212759971618652,12.35908031463623,0.5196069576131443,0.5746850326738973,0.05507807506075291,,1.056003212928772,1.2041758298873901,0.14817261695861816,,siren,0.28157180547714233,0.07898258417844772,0.2875793573016478,False,0.0
