noise_category,sample_count,mean_metadata_measured_snr_db,mean_waveform_input_snr_db,mean_waveform_output_snr_db,mean_waveform_snr_improvement_db,mean_input_si_snr_db,mean_output_si_snr_db,mean_si_snr_improvement_db,mean_input_stoi,mean_output_stoi,mean_stoi_improvement,mean_input_pesq,mean_output_pesq,mean_pesq_improvement,mean_rms_ratio_enhanced_over_clean,mean_clipping_pct
armored_vehicle,13,6.153846153846154,7.629352816875841,11.314403208386409,3.685050391510569,7.416490224691538,10.550402829280266,3.133912604588729,0.7806759475661937,0.766466701194179,-0.014209246372014723,1.5158498745698195,1.4755199322333703,-0.04032994233644926,0.9228282460192709,0.0
artillery,16,5.625,6.974479009317421,10.935826551762352,3.9613475424449303,7.365973062813282,10.151481855660677,2.785508792847395,0.7940925726748944,0.8061229894551797,0.012030416780285238,1.8349925801157951,1.8005461990833282,-0.03444638103246689,0.9342636641458472,0.0
drone,13,8.846153846153847,10.270168378731476,13.702573531753481,3.4324051530220054,10.068689740621126,13.364319691291222,3.2956299506700955,0.9276698657145219,0.8949084594484094,-0.032761406266112535,2.1232159046026378,2.023289671311012,-0.09992623329162598,0.9944105970350059,0.0
gunshot,14,10.357142857142858,11.797372382014387,14.209851421130974,2.412479039116587,11.71836669743061,14.065363272527716,2.3469965750971045,0.8743846664630416,0.8555888273108521,-0.018795839152189565,2.271769787584032,1.9532011577061243,-0.3185686298779079,1.0022093321622623,0.0
helicopter,14,5.0,6.806405884082545,12.41305904220502,5.606653158122475,6.702343440481594,11.65296689846686,4.950623457985265,0.8359999076145411,0.8474505135899374,0.011450605975396306,1.6654397419520788,1.7656054837363107,0.100165741784232,0.951519073273822,0.0
siren,17,5.882352941176471,6.961410102797089,11.278662107655268,4.3172520048581795,6.356016851523343,11.197481127346263,4.84146427582292,0.7781851943694735,0.7809288674286761,0.002743673059202498,1.4710398842306698,1.6139071969424976,0.1428673127118279,0.9200450373479107,0.0
wind,13,6.153846153846154,8.040568957108965,11.569605189299766,3.5290362321908004,7.282524096564605,11.60021278491387,4.317688688349265,0.8564813776429884,0.8270706571699493,-0.02941072047303903,1.6074689718393178,1.6238052111405592,0.01633623930124136,0.9034902527388791,0.0
