sample_id,target_snr_db,metadata_measured_snr_db,noise_category,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,input_pesq,output_pesq,pesq_improvement,rms_ratio_enhanced_over_clean,clipping_pct,valid_percep,inference_sec
S0389,5.0,5.0,drone,5.9125,10.3702,4.4577,5.9285,10.1774,4.2489,0.910923,0.929555,0.018633,1.176233,1.453791,0.277558,1.02031,0.0,1,0.0427
S0402,5.0,5.0,drone,4.8564,17.7297,12.8733,4.8733,17.676,12.8027,0.919824,0.89402,-0.025804,1.550406,2.270189,0.719783,1.000336,0.0,1,0.0308
S0416,5.0,5.0,siren,2.9388,7.0085,4.0696,2.9747,6.0548,3.0801,0.893477,0.900247,0.006771,1.337713,1.66863,0.330917,0.875253,0.0,1,0.028
S0418,5.0,5.0,siren,3.7941,8.9612,5.1671,3.7866,8.6986,4.9121,0.678677,0.689295,0.010618,1.266645,1.332757,0.066113,1.028785,0.0,1,0.049
S0424,5.0,5.0,siren,5.6004,14.1088,8.5085,5.6239,14.1673,8.5434,0.748961,0.820032,0.071071,1.2409,2.029716,0.788816,1.025337,0.0,1,0.0338
S0426,5.0,5.0,siren,5.4457,13.183,7.7373,5.434,13.1192,7.6852,0.627686,0.708849,0.081163,1.258254,1.602343,0.344089,1.015908,0.0,1,0.0374
S0444,5.0,5.0,gunshot,4.805,7.8731,3.0681,3.3646,7.982,4.6173,0.762602,0.850252,0.08765,1.125782,1.483714,0.357932,0.767911,0.0,1,0.0297
S0459,5.0,5.0,helicopter,9.3704,19.1135,9.743,9.359,19.183,9.824,0.938991,0.957734,0.018743,1.60438,2.522819,0.918439,1.012426,0.0,1,0.0499
S0481,5.0,5.0,wind,4.1616,9.6856,5.524,4.0403,9.489,5.4487,0.766462,0.784341,0.017879,1.166051,1.38796,0.221909,1.028075,0.0,1,0.0254
S0486,5.0,5.0,wind,7.3941,13.3424,5.9483,6.5217,17.1601,10.6385,0.95381,0.959383,0.005573,1.355075,2.361305,1.00623,0.824837,0.0,1,0.0229
S0515,10.0,10.0,armored_vehicle,13.2479,16.0949,2.8471,13.2474,16.0136,2.7662,0.8653,0.895402,0.030101,1.388058,1.786386,0.398328,0.999802,0.0,1,0.0257
S0523,10.0,10.0,armored_vehicle,11.3355,13.9667,2.6311,11.2918,13.8494,2.5576,0.928098,0.923061,-0.005037,2.002808,2.212473,0.209665,1.003055,0.0,1,0.0229
S0525,10.0,10.0,armored_vehicle,12.754,20.671,7.917,12.7423,20.6343,7.892,0.883413,0.899462,0.016049,1.386302,2.578288,1.191986,0.996832,0.0,1,0.0443
S0529,10.0,10.0,artillery,9.6307,16.2532,6.6225,9.1555,18.8485,9.693,0.973456,0.980743,0.007286,1.999516,2.977963,0.978447,0.889489,0.0,1,0.0259
S0532,10.0,10.0,artillery,8.6542,12.818,4.1637,8.0183,13.7666,5.7483,0.911942,0.924038,0.012096,1.793319,2.797942,1.004623,0.870327,0.0,1,0.0288
S0533,10.0,10.0,artillery,9.301,15.2185,5.9175,9.3975,15.2042,5.8068,0.961416,0.938949,-0.022467,1.708876,2.521333,0.812457,1.013223,0.0,1,0.0297
S0535,10.0,10.0,artillery,19.275,22.183,2.908,19.2273,22.2134,2.986,0.908765,0.906197,-0.002568,2.093626,2.416267,0.322641,1.005838,0.0031,1,0.0297
S0562,10.0,10.0,drone,11.3355,18.5904,7.2549,11.3404,18.6022,7.2618,0.955548,0.986135,0.030586,2.313417,2.655621,0.342204,1.008164,0.0,1,0.0294
S0565,10.0,10.0,drone,12.9602,19.3565,6.3963,13.2367,19.3584,6.1217,0.93764,0.929976,-0.007664,2.244194,2.358082,0.113888,1.005531,0.0,1,0.0301
S0573,10.0,10.0,drone,13.6634,22.0733,8.4099,13.6659,22.0564,8.3905,0.983603,0.965309,-0.018294,2.399566,3.995915,1.596349,1.000687,0.0,1,0.026
S0578,10.0,10.0,siren,9.6097,14.6467,5.037,9.5917,14.5958,5.0041,0.942975,0.980848,0.037873,1.678344,3.191308,1.512963,1.01065,0.0,1,0.0333
S0581,10.0,10.0,siren,11.501,14.2859,2.7849,11.2083,14.3102,3.1019,0.894827,0.933765,0.038938,1.874402,2.71182,0.837418,0.942817,0.0,1,0.0375
S0591,10.0,10.0,siren,13.829,20.4892,6.6603,13.6496,20.936,7.2863,0.900086,0.886711,-0.013375,2.176769,2.585719,0.40895,0.96537,0.0,1,0.0272
S0605,10.0,10.0,gunshot,10.251,16.0584,5.8073,10.2765,16.2123,5.9358,0.706532,0.797903,0.091372,1.405024,1.655403,0.250379,1.025956,0.0,1,0.0286
S0611,10.0,10.0,gunshot,7.4372,16.6527,9.2155,7.3816,16.5783,9.1966,0.967515,0.98537,0.017854,2.168881,2.740093,0.571212,0.999152,0.0,1,0.0308
S0623,10.0,10.0,helicopter,11.6794,15.0201,3.3408,11.7185,15.0693,3.3508,0.948217,0.967565,0.019349,1.362946,1.634006,0.27106,1.020757,0.0,1,0.05
S0624,10.0,10.0,helicopter,12.0178,19.0934,7.0756,11.9943,19.0947,7.1004,0.991029,0.988344,-0.002685,2.990853,2.796934,-0.193918,1.006202,0.0,1,0.0297
S0626,10.0,10.0,helicopter,7.5282,18.3258,10.7975,7.4954,18.3525,10.8571,0.971891,0.966494,-0.005396,1.385762,1.710846,0.325084,1.010116,0.0,1,0.0274
S0632,10.0,10.0,helicopter,11.186,15.1181,3.9321,11.1844,15.1194,3.935,0.905092,0.921314,0.016221,1.621746,1.97636,0.354614,1.015332,0.0,1,0.0286
S0638,10.0,10.0,helicopter,21.6422,22.3911,0.7489,21.6341,22.3984,0.7643,0.947999,0.94939,0.001391,2.149936,2.581559,0.431623,1.003668,0.0,1,0.0365
S0666,10.0,10.0,wind,15.3082,16.8052,1.497,15.3173,16.773,1.4557,0.971177,0.96735,-0.003827,1.758567,1.993831,0.235265,1.006295,0.0,1,0.0257
S0688,15.0,15.0,armored_vehicle,16.116,19.5772,3.4612,16.1029,19.7855,3.6826,0.981082,0.979971,-0.001111,1.704468,2.518493,0.814024,0.969779,0.0,1,0.0271
S0697,15.0,15.0,artillery,11.7409,16.505,4.7641,11.7299,16.5055,4.7756,0.666898,0.74545,0.078551,1.314167,1.79184,0.477673,1.011176,0.0,1,0.0416
S0711,15.0,15.0,artillery,26.5142,29.6435,3.1293,38.8277,35.47,-3.3577,0.999983,0.99943,-0.000553,4.585483,4.604583,0.0191,0.971572,0.0,1,0.0282
S0725,15.0,15.0,drone,15.7926,28.048,12.2554,15.7905,28.0878,12.2974,0.998026,0.997968,-5.7e-05,2.295854,3.331642,1.035787,1.003313,0.0,1,0.0299
S0727,15.0,15.0,drone,16.5811,22.4156,5.8345,16.5617,22.4741,5.9124,0.997342,0.997466,0.000124,3.531205,3.684954,0.153749,1.007601,0.0,1,0.0234
S0735,15.0,15.0,drone,14.9509,16.7905,1.8396,14.9544,16.862,1.9076,0.961088,0.966426,0.005338,2.614788,2.794666,0.179878,1.017381,0.0,1,0.0273
