sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav
S0011,-5.0,-5.0,-6.988106471259343,-5.280472653131224,1.7076338181281185,-7.057730674743652,2.2222254276275635,9.279956102371216,0.5312173725067135,0.516609356770708,-0.014608015736005564,,1.1634852886199951,1.157091498374939,-0.006393790245056152,,armored_vehicle,0.45240676403045654,0.06717275083065033,0.94090585329638,False
S0016,-5.0,-5.0,-5.1315305561951154,-4.0122984822138985,1.119232073981217,-5.364826202392578,-0.09042473137378693,5.274401471018791,0.6785225471707548,0.7302549093494259,0.051732362178671165,,1.037152647972107,1.0743606090545654,0.037207961082458496,,armored_vehicle,0.3892952501773834,0.058793820440769196,0.7156725496578381,False
S0019,-5.0,-5.0,-3.3499623395736666,-4.499860714858454,-1.1498983752847876,-3.091892957687378,3.740950107574463,6.832843065261841,0.5657407524403172,0.6304491243038647,0.0647083718635475,,1.05045485496521,1.2012510299682617,0.15079617500305176,,armored_vehicle,0.08693347126245499,0.010442202910780907,0.7495988671471652,False
S0023,-5.0,-5.0,-0.7994759826095426,-3.1787509532339877,-2.3792749706244454,-3.6068308353424072,2.485502243041992,6.092333078384399,0.5465316574976291,0.45470279340031666,-0.09182886409731245,,1.0304243564605713,1.1252652406692505,0.0948408842086792,,armored_vehicle,0.5248138308525085,0.07977993041276932,0.5113158784889947,False
S0033,-5.0,-5.0,5.356122528680661,-2.924118757582165,-8.280241286262825,9.146342277526855,17.328201293945312,8.181859016418457,0.9706421666726324,0.9727278538119757,0.0020856871393433174,,2.7904722690582275,2.325834274291992,-0.46463799476623535,,artillery,0.41007447242736816,0.05797696113586426,0.40287502798061564,False
S0045,-5.0,-5.0,0.2283705447421197,-2.7326646069906477,-2.9610351517327675,-5.14023494720459,-1.7318871021270752,3.4083478450775146,0.6120215160160655,0.7417322269751742,0.1297107109591087,,1.2002719640731812,1.3708704710006714,0.17059850692749023,,artillery,0.6432169675827026,0.06190001592040062,0.4966530638312842,False
S0053,-5.0,-5.0,-3.184194743880841,-5.141723247323889,-1.957528503443048,-5.592884063720703,-4.95229434967041,0.640589714050293,0.8700476896131262,0.8348901855136303,-0.03515750409949592,,1.13486909866333,1.1126011610031128,-0.022267937660217285,,drone,0.6913492679595947,0.14457905292510986,1.0919196557105664,False
S0071,-5.0,-5.0,-5.394310655773471,-4.42868446150794,0.9656261942655311,-5.882987022399902,5.361278533935547,11.24426555633545,0.8180918478701676,0.7459273529046601,-0.07216449496550759,,1.0990924835205078,1.2680624723434448,0.168969988822937,,drone,0.46431758999824524,0.09785465896129608,0.7158511577112305,False
S0078,-5.0,-5.0,-6.629630330858056,-5.314470820346926,1.3151595105111298,-6.544703960418701,3.416983127593994,9.961687088012695,0.6222134209045933,0.6581089643290107,0.035895543424417364,,1.3251036405563354,1.2421417236328125,-0.08296191692352295,,siren,0.031265076249837875,0.005381579976528883,0.9280340213821545,False
S0081,-5.0,-5.0,1.3315482857753955,-1.9271965262430966,-3.258744812018492,-4.146320343017578,6.382983207702637,10.529303550720215,0.5196069576131443,0.5482420478171595,0.028635090204015112,,1.056003212928772,1.0806950330734253,0.02469182014465332,,siren,0.28357768058776855,0.07400698959827423,0.2694629800465427,False
S0096,-5.0,-5.0,-3.574896411152288,-4.610641910715719,-1.035745499563431,-4.9638566970825195,2.4229648113250732,7.386821508407593,0.4769752207815765,0.488071060997711,0.011095840216134523,,1.0409953594207764,1.067172646522522,0.026177287101745605,,siren,0.4215409755706787,0.08610717207193375,0.7922030054963353,False
S0129,-5.0,-5.0,-4.057109499406571,-4.0337323385278525,0.023377160878718328,-4.850780963897705,0.25879985094070435,5.109580814838409,0.560273833232164,0.6959412092107139,0.13566737597854994,,1.033722996711731,1.1581391096115112,0.12441611289978027,,helicopter,0.6346758604049683,0.08268961310386658,0.7129570017644233,False
S0130,-5.0,-5.0,-4.257538174592613,-4.218617204163184,0.038920970429428436,-4.209779739379883,2.6697423458099365,6.879522085189819,0.6797589180916968,0.8080345512733627,0.1282756331816659,,1.1868553161621094,1.3074679374694824,0.12061262130737305,,helicopter,0.12145473808050156,0.01796850562095642,0.707884794913201,False
S0138,-5.0,-5.0,-5.1726481250124925,-4.665754463749206,0.5068936612632866,-5.021269798278809,-0.8181633949279785,4.20310640335083,0.6644919828478142,0.7034623413757378,0.03897035852792363,,1.0303497314453125,1.0421440601348877,0.011794328689575195,,helicopter,0.2254783809185028,0.027611950412392616,0.8699972111086065,False
S0157,-5.0,-5.0,-0.7361645545902795,-2.5421337242070345,-1.805969169616755,-5.783090114593506,0.2452944815158844,6.02838459610939,0.5995111889055819,0.5781712903402816,-0.021339898565300275,,1.157805323600769,1.065485954284668,-0.09231936931610107,,wind,0.5119113326072693,0.08258739858865738,0.42741679562566925,False
S0164,-5.0,-5.0,-5.844778930387355,-4.769420311039292,1.075358619348063,-5.857451438903809,9.11086368560791,14.968315124511719,0.8154492839375266,0.7501687652594543,-0.06528051867807227,,1.1601321697235107,1.3974518775939941,0.2373197078704834,,wind,0.32233726978302,0.06458207219839096,0.7561023798132958,False
S0194,0.0,0.0,-1.021425341071458,-4.997972604463719,-3.976547263392261,-0.935822069644928,8.54315185546875,9.478973925113678,0.845082467789285,0.8899902579555269,0.04490779016624191,,1.3034498691558838,1.445178747177124,0.14172887802124023,,artillery,0.3010924756526947,0.03899282217025757,0.8063737933373358,False
S0201,0.0,0.0,-0.6908050317717924,-2.812330983531015,-2.1215259517592227,-3.4873108863830566,0.3609192669391632,3.84823015332222,0.6686030463058912,0.6729165785766508,0.00431353227075959,,1.0881648063659668,1.1117799282073975,0.023615121841430664,,artillery,0.3446723222732544,0.04539266973733902,0.4748753009182191,False
S0204,0.0,0.0,-14.528655646362116,-4.357091082050672,10.171564564311446,-15.189541816711426,-26.638429641723633,-11.448887825012207,0.1026830052390325,0.06797761831608486,-0.03470538692294764,,1.0986156463623047,1.1023731231689453,0.003757476806640625,,artillery,0.45994117856025696,0.0306490920484066,1.268578196193491,False
S0209,0.0,0.0,2.8831300212500333,-5.142970652582846,-8.026100673832879,2.878113031387329,12.89365291595459,10.01553988456726,0.950373500630849,0.9801371508722972,0.029763650241448225,,1.4735517501831055,2.769991636276245,1.2964398860931396,,artillery,0.611585795879364,0.05275033041834831,0.8189635896886991,False
S0214,0.0,0.0,1.2161673144795984,-4.788909356787958,-6.005076671267556,1.1339579820632935,8.661297798156738,7.527339816093445,0.6176236163662454,0.6717593343743762,0.05413571800813077,,1.1241464614868164,1.309993863105774,0.18584740161895752,,artillery,0.4126043915748596,0.05572175234556198,0.7625469527981684,False
S0234,0.0,0.0,-0.8214168291810754,-4.798727801498466,-3.9773109723173907,-0.8585269451141357,7.462129592895508,8.320656538009644,0.7354385782096735,0.7454602016709817,0.010021623461308193,,1.214406132698059,1.1522526741027832,-0.06215345859527588,,drone,0.094792440533638,0.01878710649907589,0.7724225957459543,False
S0242,0.0,0.0,1.9281655839349647,-3.4912705114791387,-5.419436095414103,-1.0321773290634155,1.5866961479187012,2.6188734769821167,0.8069471872376444,0.8447061333813767,0.03775894614373232,,1.2109125852584839,1.2891089916229248,0.07819640636444092,,siren,0.7044536471366882,0.11230802536010742,0.5824321777260001,False
S0247,0.0,0.0,1.1793353174314383,-5.119321610667644,-6.298656928099082,1.1530373096466064,4.0284104347229,2.875373125076294,0.808415598685829,0.8315925679179111,0.023176969232082123,,1.1214832067489624,1.1702603101730347,0.048777103424072266,,siren,0.4006142020225525,0.09944313764572144,0.8759720529608026,False
S0263,0.0,0.0,0.3836752995861606,-4.552104715474285,-4.935780015060446,0.17250561714172363,2.2656033039093018,2.093097686767578,0.5968516986375354,0.5904959593371211,-0.0063557393004143314,,1.2714831829071045,1.385432243347168,0.11394906044006348,,siren,0.467679888010025,0.042469460517168045,0.7826109252125637,False
S0269,0.0,0.0,-0.640773359218709,-6.141998556261601,-5.501225197042892,-0.2089536190032959,0.17392542958259583,0.3828790485858917,0.8662766687609972,0.8686622503094389,0.0023855815484417064,,1.1037601232528687,1.1201038360595703,0.01634371280670166,,gunshot,0.23035842180252075,0.0390034094452858,1.1893717522343799,False
S0277,0.0,0.0,16.274512422214443,-5.139338915160543,-21.413851337374986,16.280200958251953,16.314319610595703,0.03411865234375,0.9540618151525485,0.9464506707224859,-0.007611144430062611,,3.2788915634155273,3.2668349742889404,-0.012056589126586914,,gunshot,0.5674360394477844,0.06642850488424301,0.8121907273940232,False
S0278,0.0,0.0,0.624739557138824,-5.01736272692167,-5.642102284060494,0.4387398958206177,4.442935466766357,4.00419557094574,0.5882956481291066,0.6299651064057799,0.04166945827667323,,1.0715194940567017,1.1514477729797363,0.07992827892303467,,gunshot,0.5949233174324036,0.0930391252040863,0.848374385587475,False
