noise_category,sample_count,mean_metadata_measured_snr_db,mean_waveform_input_snr_db,mean_waveform_output_snr_db,mean_waveform_snr_improvement_db,mean_input_si_snr_db,mean_output_si_snr_db,mean_si_snr_improvement_db,mean_input_stoi,mean_output_stoi,mean_stoi_improvement,mean_input_pesq,mean_output_pesq,mean_pesq_improvement,mean_rms_ratio_enhanced_over_clean
armored_vehicle,13,6.153846153846154,7.629352816875841,11.618281483802122,3.9889286669262813,7.416490224691538,10.99840372800827,3.5819135033167324,0.7806759475661937,0.7746005030742315,-0.00607544449196223,1.5158498745698195,1.489081703699552,-0.02676817087026743,0.9707805451721895
artillery,16,5.625,6.974479009317421,11.230041711347445,4.255562702030024,7.365973062813282,10.482396382838488,3.1164233200252056,0.7940925726748944,0.8042799539034494,0.01018738122855495,1.8349925801157951,1.8191852867603302,-0.015807293355464935,0.9464262470803075
drone,13,8.846153846153847,10.270168378731476,14.148605886738364,3.878437508006889,10.068689740621126,13.850070036374605,3.781380295753479,0.9276698657145219,0.9020528763705672,-0.02561698934395469,2.1232159046026378,2.0219027996063232,-0.10131310499631442,1.006222005090533
gunshot,14,10.357142857142858,11.797372382014387,14.480184583088464,2.682812201074078,11.71836669743061,14.346086792381746,2.627720094951136,0.8743846664630416,0.8698073390717245,-0.0045773273913171176,2.271769787584032,2.0272330982344493,-0.24453668934958323,1.0033319821748543
helicopter,14,5.0,6.806405884082545,12.618384706733101,5.811978822650557,6.702343440481594,11.992671627019133,5.290328186537538,0.8359999076145411,0.8576974674566612,0.021697559842120136,1.6654397419520788,1.740873830659049,0.07543408870697021,0.9775212102091613
siren,17,5.882352941176471,6.961410102797089,11.37112545404775,4.409715351250661,6.356016851523343,11.325364365297204,4.969347513773862,0.7781851943694735,0.7950920486690659,0.016906854299592405,1.4710398842306698,1.549674524980433,0.07863464074976304,0.9345154750906237
wind,13,6.153846153846154,8.040568957108965,11.74602211100013,3.705453153891165,7.282524096564605,11.726956670100872,4.444432573536267,0.8564813776429884,0.8456846983044353,-0.010796679338553097,1.6074689718393178,1.6630316147437463,0.05556264290442833,0.9179573361834261
