target_snr_db,sample_count,mean_metadata_measured_snr_db,mean_waveform_input_snr_db,mean_waveform_output_snr_db,mean_waveform_snr_improvement_db,mean_input_si_snr_db,mean_output_si_snr_db,mean_si_snr_improvement_db,mean_input_stoi,mean_output_stoi,mean_stoi_improvement,mean_input_pesq,mean_output_pesq,mean_pesq_improvement,mean_rms_ratio_enhanced_over_clean
-5.0,16,-5.0,-3.0127690885058414,-4.017533823489657,-1.0047647349838162,-4.248018592596054,3.0033137211576104,7.2513323137536645,0.658193522256344,0.6785933771020741,0.020399854845730193,1.218574419617653,1.2497521936893463,0.03117777407169342,0.6930531402483939
0.0,20,0.0,0.999717534184889,-4.702501548399805,-5.702219082584695,0.45617743376642467,5.144461885094643,4.688284451328218,0.7230892896075798,0.7420734200300028,0.018984130422422932,1.3179808139801026,1.4767203032970428,0.15873948931694032,0.8044320964035734
10.0,21,10.0,12.102241063400648,-5.073812617666976,-17.176053681067625,12.036898340497698,15.621953964233398,3.5850556237357005,0.9265010758310244,0.9221295865380653,-0.0043714892929590625,1.9001387017113822,2.0829378139405024,0.18279911222912015,0.8011587477627599
15.0,17,15.0,16.489557104269785,-5.100654180947504,-21.59021128521729,17.211116846869974,19.2176713662989,2.0065545194289265,0.9465458116171848,0.9344740289890916,-0.012071782628093131,2.451593413072474,2.2790240750593296,-0.1725693380131441,0.8057776185325534
20.0,11,20.0,21.567885245224836,-5.154544058942937,-26.722429304167772,21.574907649647106,20.79640917344527,-0.7784984762018378,0.9521035796114194,0.925295327268295,-0.02680825234312441,2.67988290569999,2.629043925892223,-0.050838979807767,0.8128183226225932
5.0,15,5.0,5.606892502548033,-4.895617432853667,-10.5025099354017,5.462324595451355,10.367048104604086,4.90472350915273,0.8139296048167536,0.8240183493022282,0.010088744485474513,1.385194985071818,1.6079184770584107,0.2227234919865926,0.7871592585984344
